CustomerID,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,EducationLevel,Occupation,HomeOwner
TH-211151,Jon,Huang,6/18/1962,M,M,jon24@hotmail.com,90000,Bachelors,Professional,Y
BD-116051,Eugene,Torres,6/16/1985,S,M,eugene10@hotmail.com,60000,Bachelors,Professional,N
TS-212051,Ruben,Zhu,6/28/1985,M,M,ruben35@hotmail.com,60000,Bachelors,Professional,Y
SU-206651,Christy,Johnson,8/4/1988,S,F,christy12@hotmail.com,70000,Bachelors,Professional,N
GM-144551,Elizabeth,Ruiz,1/12/1960,S,F,elizabeth5@hotmail.com,80000,Bachelors,Professional,Y
CA-120551,Julio,Mehta,7/9/1970,S,M,julio1@hotmail.com,70000,Bachelors,Professional,Y
BG-110351,Marco,Verhoff,4/24/1975,M,M,marco14@hotmail.com,60000,Bachelors,Professional,Y
SS-201401,Robin,Carlson,5/22/1971,S,F,rob4@hotmail.com,60000,Bachelors,Professional,Y
DW-131951,Shannon,Suarez,7/2/1988,S,M,shannon38@hotmail.com,70000,Bachelors,Professional,N
JM-156551,Jacquelyn,Lu,2/3/1994,S,F,jacquelyn20@hotmail.com,70000,Bachelors,Professional,N
LO-171701,Curtis,Walker,11/9/1979,M,M,curtis9@hotmail.com,60000,Bachelors,Professional,Y
AH-105851,Lauren,Jenkins,4/21/1981,M,F,lauren41@hotmail.com,100000,Bachelors,Management,Y
VB-217451,Ian,Bennett,2/11/1985,M,M,ian47@hotmail.com,100000,Bachelors,Management,Y
RS-194201,Sydney,Young,7/2/1997,S,F,sydney23@hotmail.com,100000,Bachelors,Management,N
ED-138851,Chloe,Hill,4/12/1969,S,F,chloe23@hotmail.com,30000,Partial College,Skilled Manual,N
AA-103751,Wyatt,Wang,10/17/1992,M,M,wyatt32@hotmail.com,30000,Partial College,Skilled Manual,Y
LW-168251,Shannon,Rai,7/26/1963,S,F,shannon1@hotmail.com,20000,High School,Skilled Manual,Y
VW-217751,Clarence,Lal,12/24/1992,S,M,clarence32@hotmail.com,30000,Partial College,Clerical,Y
CS-118451,Luke,King,2/11/1973,S,M,luke18@hotmail.com,40000,High School,Skilled Manual,N
KH-166901,Jordan,Wilson,2/6/1961,S,M,jordan73@hotmail.com,40000,High School,Skilled Manual,N
EH-139451,Destiny,Zhang,9/27/1979,S,F,destiny7@hotmail.com,40000,Partial College,Skilled Manual,N
TS-213401,Ethan,Edwards,2/17/1995,M,M,ethan20@hotmail.com,40000,Partial College,Skilled Manual,Y
AJ-107801,Seth,Xie,11/8/1987,M,M,seth46@hotmail.com,40000,Partial College,Skilled Manual,Y
DL-134951,Russell,Beck,11/27/1983,M,M,russell7@hotmail.com,60000,Partial College,Skilled Manual,Y
JG-151151,Alejandro,Sai,6/24/1988,M,NA,alejandro45@hotmail.com,10000,Partial High School,Clerical,Y
SC-102302,Harold,Zhao,12/7/1968,S,M,harold3@hotmail.com,30000,Partial College,Clerical,N
NC-85352,Jessie,Jimenez,5/4/1978,M,M,jessie16@hotmail.com,30000,Partial College,Clerical,Y
MC-81302,Jill,Moreno,4/18/1960,M,F,jill13@hotmail.com,30000,Partial College,Clerical,Y
EM-38252,Jimmy,Yuan,6/24/1985,M,M,jimmy9@hotmail.com,30000,Partial College,Clerical,Y
ML-73952,Bethany,Ramos,1/22/1978,M,F,bethany10@hotmail.com,10000,Partial High School,Clerical,Y
JD-58952,Theresa,Stone,8/6/1970,M,F,theresa13@hotmail.com,20000,High School,Skilled Manual,Y
JB-59252,Denise,Nath,11/16/1996,M,F,denise10@hotmail.com,20000,High School,Skilled Manual,Y
GA-45152,Jaime,Gonzalez,8/9/1993,M,M,jaime41@hotmail.com,20000,High School,Skilled Manual,Y
TT-114602,Ebony,Dominguez,4/8/1995,M,F,ebony19@hotmail.com,20000,High School,Skilled Manual,Y
JD-60152,Wendy,Russell,11/17/1989,M,NA,wendy12@hotmail.com,10000,Partial High School,Clerical,Y
AJ-7803,Jennifer,Garcia,12/24/1968,M,F,jennifer93@hotmail.com,60000,Partial College,Skilled Manual,Y
PF-91653,Chloe,Hernandez,2/4/1965,S,F,chloe27@hotmail.com,40000,Partial High School,Clerical,N
BO-14253,Diana,Martin,8/2/1977,M,F,diana2@hotmail.com,10000,Partial High School,Clerical,Y
SK-99903,Marc,Murphy,2/28/1999,M,M,marc3@hotmail.com,30000,Partial College,Clerical,Y
JE-54753,Jesse,Carter,6/1/1970,M,M,jesse15@hotmail.com,30000,Partial College,Skilled Manual,Y
PO-88653,Amanda,Sanchez,9/2/1993,M,F,amanda53@hotmail.com,60000,Partial College,Skilled Manual,Y
IL-51003,Megan,Simmons,5/4/1984,M,F,megan28@hotmail.com,70000,Partial College,Skilled Manual,Y
AC-4203,Nathan,Flores,6/9/1967,M,M,nathan11@hotmail.com,60000,Partial College,Skilled Manual,Y
CR-28203,Adam,Nara,9/14/1962,M,M,adam10@hotmail.com,20000,Partial High School,Clerical,Y
RO-97803,Leonard,Yuan,12/19/1990,S,M,leonard18@hotmail.com,30000,High School,Skilled Manual,N
BM-17853,Christine,Lu,3/23/1973,M,F,christine4@hotmail.com,30000,High School,Skilled Manual,Y
MW-82203,Jaclyn,Powell,3/15/1968,M,F,jaclyn12@hotmail.com,30000,High School,Skilled Manual,N
TT-110703,Jeremy,Rai,11/20/1961,M,M,jeremy26@hotmail.com,30000,High School,Skilled Manual,Y
BC-11253,Carol,Zheng,6/22/1962,S,F,carol8@hotmail.com,40000,Partial High School,Clerical,Y
RB-95703,Alan,Johnson,4/24/1992,M,M,alan23@hotmail.com,30000,High School,Skilled Manual,Y
SZ-100353,Daniel,Lopez,4/14/1979,S,M,daniel18@hotmail.com,30000,High School,Skilled Manual,N
LC-70503,Heidi,Price,4/23/1964,S,F,heidi19@hotmail.com,40000,Partial College,Clerical,N
LM-70653,Ana,Munoz,6/20/1970,M,F,ana0@hotmail.com,60000,Partial College,Skilled Manual,N
CP-20853,Deanna,Raje,8/2/1976,M,F,deanna33@hotmail.com,40000,Partial College,Skilled Manual,Y
ES-40803,Gilbert,Nath,3/27/1983,M,M,gilbert35@hotmail.com,40000,Partial College,Skilled Manual,Y
AR-5703,Michele,Andersen,6/11/1994,M,F,michele19@hotmail.com,40000,Partial College,Skilled Manual,Y
DK-28353,Carl,Diaz,9/17/1982,M,M,carl12@hotmail.com,70000,Graduate Degree,Management,Y
CP-23403,Marc,Andersen,5/16/1988,M,M,marc6@hotmail.com,80000,Partial College,Skilled Manual,Y
BP-12303,Ashlee,Zhou,6/11/1969,S,F,ashlee19@hotmail.com,80000,Partial College,Skilled Manual,Y
DJ-35103,Jon,Gao,7/20/2000,M,M,jon28@hotmail.com,80000,Partial College,Skilled Manual,Y
DL-28653,Todd,Powell,7/21/1998,M,M,todd14@hotmail.com,80000,Partial College,Skilled Manual,Y
HR-48303,Noah,Murphy,4/15/1969,M,M,noah5@hotmail.com,40000,High School,Skilled Manual,Y
DR-29403,Angela,Reed,7/2/1965,S,F,angela41@hotmail.com,40000,High School,Skilled Manual,Y
YS-118803,Chase,Henderson,10/14/1993,M,M,chase21@hotmail.com,40000,High School,Skilled Manual,Y
CM-21603,Jessica,Butler,9/16/1965,M,F,jessica29@hotmail.com,60000,Partial College,Skilled Manual,N
RD-95853,Grace,Carter,2/9/1982,M,F,grace62@hotmail.com,70000,Partial College,Professional,Y
RS-97653,Caleb,Liang,2/13/1978,S,M,caleb40@hotmail.com,60000,Partial College,Professional,Y
JG-51603,Tiffany,Navarro,12/2/1990,S,F,tiffany17@hotmail.com,80000,High School,Skilled Manual,Y
DS-31803,Carolyn,Raji,11/13/1972,S,F,carolyn30@hotmail.com,80000,High School,Skilled Manual,N
DH-36753,Willie,Serrano,4/1/1986,M,M,willie40@hotmail.com,80000,High School,Skilled Manual,Y
AS-2853,Linda,Luo,9/14/1978,S,F,linda31@hotmail.com,80000,High School,Skilled Manual,Y
DB-32103,Casey,Ye,3/16/1965,S,F,casey6@hotmail.com,80000,High School,Skilled Manual,N
KF-62853,Amy,Arun,12/5/1984,S,F,amy16@hotmail.com,70000,High School,Skilled Manual,Y
ML-73953,Levi,Jimenez,1/24/1992,S,M,levi6@hotmail.com,70000,High School,Skilled Manual,Y
AR-3453,Felicia,Anderson,2/24/1996,S,F,felicia4@hotmail.com,80000,High School,Professional,Y
AH-100753,Blake,Ye,10/25/1972,S,M,blake9@hotmail.com,80000,High School,Professional,Y
CL-25653,Leah,Martin,12/17/1986,S,F,leah7@hotmail.com,80000,High School,Professional,N
RS-94203,Gina,Gonzalez,12/24/1978,S,F,gina1@hotmail.com,40000,High School,Professional,N
LD-68553,Donald,Chander,4/9/1983,S,M,donald20@hotmail.com,160000,Graduate Degree,Management,Y
CD-27903,Damien,Baker,8/17/1978,M,M,damien32@hotmail.com,170000,Graduate Degree,Management,Y
CC-22203,Savannah,Butler,11/10/1963,M,F,savannah39@hotmail.com,120000,Bachelors,Management,Y
JL-58353,Angela,Cox,6/20/1997,S,NA,angela17@hotmail.com,130000,Graduate Degree,Management,N
TB-112503,Alyssa,Phillips,10/15/1995,M,F,alyssa37@hotmail.com,130000,Graduate Degree,Management,Y
AA-6453,Lucas,Johnson,2/20/1995,S,M,lucas7@hotmail.com,80000,Partial High School,Skilled Manual,N
MV-81903,Emily,Brown,10/7/1987,S,F,emily1@hotmail.com,60000,High School,Professional,N
MS-79803,Ryan,Liang,6/7/1965,M,M,ryan43@hotmail.com,70000,Partial College,Professional,Y
JH-59853,Tamara,Price,3/11/1998,M,F,tamara6@hotmail.com,70000,Partial College,Professional,N
CC-24303,Abigail,Bryant,12/24/1979,S,F,abigail25@hotmail.com,80000,Bachelors,Management,Y
GH-44103,Trevor,Perez,4/26/1989,S,M,trevor18@hotmail.com,90000,Partial College,Professional,Y
DB-32703,Dalton,Diaz,1/20/1974,M,M,dalton37@hotmail.com,90000,Partial College,Professional,Y
DK-32253,Cheryl,He,7/4/1965,M,F,cheryl4@hotmail.com,90000,Bachelors,Professional,Y
CC-23703,Aimee,Ma,4/4/1964,M,F,aimee13@hotmail.com,100000,Graduate Degree,Management,Y
EG-39003,Cedric,Kumar,10/26/1972,S,M,cedric15@hotmail.com,70000,Partial College,Skilled Manual,N
AA-4803,Chad,Anand,3/16/1987,S,M,chad9@hotmail.com,70000,Partial College,Skilled Manual,Y
NF-85953,Andrés,Nara,5/25/1977,M,M,andrés18@hotmail.com,60000,Bachelors,Professional,Y
